DiffIR version=1 fingerprint=0ee902b1528f74aecab75fd2ef96fdd07749f5a4e8e8256524da33d5ca4e761f tensors=363 operations=168
tensor id=88 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=89 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=90 dtype=bf16 roles=0 shape=512x16384 bytes=16777216
tensor id=91 dtype=bf16 roles=0 shape=512x8192 bytes=8388608
tensor id=92 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=93 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=94 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=95 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=96 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=97 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=98 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=99 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=100 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=101 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=102 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=103 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=104 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=105 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=106 dtype=bf16 roles=12 shape=16384x3072 bytes=100663296
tensor id=107 dtype=bf16 roles=12 shape=3072x8192 bytes=50331648
tensor id=108 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=109 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=110 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=111 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=112 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=113 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=114 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=115 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=116 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=117 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=118 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=119 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=120 dtype=bf16 roles=0 shape=512x16384 bytes=16777216
tensor id=121 dtype=bf16 roles=0 shape=512x8192 bytes=8388608
tensor id=122 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=123 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=124 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=125 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=126 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=127 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=128 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=129 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=130 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=131 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=132 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=133 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=134 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=135 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=136 dtype=bf16 roles=12 shape=16384x3072 bytes=100663296
tensor id=137 dtype=bf16 roles=12 shape=3072x8192 bytes=50331648
tensor id=138 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=139 dtype=bf16 roles=12 shape=3072 bytes=6144
